Ano,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,Pedra,Defasagem,Fase,Genero,Idade,Ano_Ingresso,Aluno_ID,Ponto_Virada
2022,5.542,5.0,17.0,5.9,5.0,7.5,7.379302859313704,7.292,Quartzo,-2,5.0,Feminino,17.0,2021,RA-44,Não
2022,7.591,10.0,15.0,8.9,7.9,5.6,7.520158085163659,7.417,Ametista,0,5.0,Feminino,15.0,2019,RA-45,Não
2022,6.048,5.0,17.0,8.4,8.8,6.3,6.858254530753142,7.083,Ágata,-2,5.0,Feminino,17.0,2022,RA-46,Não
2022,5.677,5.0,17.0,6.3,7.9,7.5,7.206190608966771,7.042,Quartzo,-2,5.0,Feminino,17.0,2022,RA-47,Não
2022,8.006,10.0,15.0,8.4,6.7,7.5,7.953286765827203,8.5,Ametista,0,5.0,Feminino,15.0,2017,RA-48,Sim
2022,6.304,5.0,17.0,7.4,7.5,7.5,7.528717335481207,7.042,Ágata,-2,5.0,Feminino,17.0,2022,RA-49,Não
2022,7.138,2.5,18.0,8.4,7.5,7.5,7.515522912322066,7.542,Ametista,-3,5.0,Feminino,18.0,2022,RA-50,Não
2022,6.488,5.0,17.0,7.6,8.8,7.5,7.177288018529775,6.5,Ágata,-2,5.0,Feminino,17.0,2022,RA-51,Não
2022,7.861,10.0,13.0,8.9,9.6,7.5,7.952801731590789,7.5,Ametista,2,5.0,Masculino,13.0,2018,RA-52,Não
2022,6.725,5.0,17.0,7.0,9.2,7.5,7.015969124135158,6.458,Ágata,-2,5.0,Masculino,17.0,2022,RA-53,Não
2022,6.058,5.0,16.0,6.9,7.9,7.5,6.607075920011782,6.125,Ágata,-1,5.0,Feminino,16.0,2022,RA-54,Não
2022,6.576,5.0,16.0,7.6,7.1,5.6,6.569419734580356,6.5,Ágata,-1,5.0,Feminino,16.0,2017,RA-55,Não
2022,8.404,10.0,15.0,10.0,10.0,7.5,7.633352989461133,8.25,Topázio,0,5.0,Feminino,15.0,2019,RA-56,Não
2022,7.305,5.0,16.0,8.1,7.1,5.6,7.578672169345046,7.875,Ametista,-1,5.0,Masculino,16.0,2017,RA-57,Não
2022,8.136,10.0,15.0,9.2,9.6,6.3,7.241726016601162,8.125,Topázio,0,5.0,Masculino,15.0,2017,RA-58,Não
2022,7.642,5.0,17.0,9.3,9.2,7.5,7.583328762082787,7.917,Ametista,-2,5.0,Masculino,17.0,2022,RA-59,Não
2022,5.537,2.5,18.0,6.0,6.7,7.5,7.004250373310316,6.167,Quartzo,-3,5.0,Feminino,18.0,2021,RA-60,Não
2022,7.533,10.0,15.0,7.4,9.2,7.5,7.626748804248469,7.875,Ametista,0,5.0,Masculino,15.0,2021,RA-61,Não
2022,7.891,5.0,17.0,9.4,8.8,7.5,7.520414631430276,7.25,Ametista,-2,5.0,Masculino,17.0,2022,RA-62,Não
2022,8.282,5.0,16.0,9.1,8.3,8.8,8.276188532381079,9.417,Topázio,-1,5.0,Masculino,16.0,2018,RA-63,Sim
2022,7.368,5.0,16.0,8.1,7.1,8.1,7.838170350535364,8.25,Ametista,-1,5.0,Masculino,16.0,2019,RA-64,Não
2022,7.712,5.0,17.0,7.7,8.3,7.5,7.15515894680198,7.875,Ametista,-2,5.0,Feminino,17.0,2022,RA-65,Não
2022,5.665,5.0,17.0,5.6,7.5,7.5,6.968533342561813,5.917,Quartzo,-2,5.0,Feminino,17.0,2022,RA-66,Não
2022,5.195,5.0,16.0,3.0,5.8,7.5,7.489906687375725,6.889,Quartzo,-1,5.0,Feminino,16.0,2019,RA-67,Não
2022,6.438,5.0,16.0,6.0,8.3,7.5,7.203889852831312,7.944,Ágata,-1,5.0,Masculino,16.0,2019,RA-68,Não
